10000 50000
1057 856 983
1801 2045 265
1145 9548 373
4222 7429 999
7119 1589 23
3886 7582 839
9573 7757 182
2272 1565 17
1367 2330 690
5294 4374 185
891 5179 24
7427 5365 995
8281 5350 290
9877 9893 350
3642 1342 836
6687 2001 949
3587 8992 584
9704 6632 385
9160 5549 926
9950 1157 459
5482 3684 8
8402 7197 740
743 7832 156
598 9329 142
4060 255 524
7890 1434 958
1082 2598 682
1796 5580 729
9733 4794 965
9557 3529 95
5458 6593 356
9801 7071 471
6624 3540 78
624 7302 377
4045 1343 604
1785 8117 108
480 3123 762
5234 1626 698
7408 642 949
7762 3682 33
2159 3468 209
6344 2778 536
3811 9395 9
5210 4641 212
1782 7617 454
3696 7067 964
4845 6522 280
1693 8770 703
6301 3018 996
6082 8248 578
1105 1649 689
6646 8338 656
1108 5144 417
7628 5639 775
9785 1034 469
9963 8732 633
3346 6455 602
5262 1640 437
8689 9070 401
254 5584 825
7102 8017 257
3061 3343 612
7014 2073 604
1905 3939 843
460 1435 100
4668 5667 857
7216 3266 529
6330 1670 286
2105 8378 103
8384 9816 308
2957 6943 183
8952 8090 141
1465 3527 556
8739 5561 125
9424 697 462
1493 6564 448
1952 7299 937
8692 984 70
4569 4156 723
7101 4221 603
6480 1420 210
8572 8970 207
6949 8210 519
3422 4989 630
4546 2897 312
5756 2830 734
9160 2080 404
9009 8855 989
503 259 665
6262 5278 214
2714 977 753
311 6984 752
608 5933 177
7802 2857 738
8720 4018 560
808 8972 342
6331 6741 417
1635 3071 498
7627 2382 229
1656 5104 62
4289 5044 182
9360 7581 269
3462 2283 817
1771 2207 902
5182 5554 933
311 7643 999
6699 1222 87
811 8710 712
5504 3302 300
1384 6660 198
4342 3611 13
1015 1386 666
5026 6061 444
5870 1749 152
2237 1479 783
4591 9356 981
7034 8873 21
1611 4104 111
8191 2049 992
8750 155 649
2178 6924 913
564 8979 273
1549 7718 42
6792 9434 743
7827 2533 93
3947 3372 745
5030 8101 15
6084 3554 711
9512 8218 325
8445 3327 426
1094 1355 287
4283 2363 643
8912 3751 519
2556 2931 741
3089 1503 445
7857 9527 172
3477 2551 306
7037 9064 848
683 3169 557
2116 1119 532
4269 1937 487
8356 7845 898
7083 2399 583
6180 9376 436
4350 9829 304
351 8497 397
7521 7769 49
7186 1080 63
2166 6870 415
6849 9071 428
8661 6774 849
3148 861 958
4827 8266 242
1520 6191 6
1361 7062 842
9383 7823 781
7616 913 685
33 3858 465
7329 9209 809
3646 3455 63
6776 8419 47
4003 9837 250
1209 8448 328
4523 7087 454
8511 7005 641
6890 7073 604
167 8659 705
7956 1322 942
790 9613 36
2413 2217 463
4202 7107 46
1992 7990 579
7967 1388 914
4561 9797 748
2642 5553 216
7210 2313 288
57 6636 399
1912 9638 335
2201 1759 158
9261 5033 137
3118 5330 448
5957 539 996
8209 5766 480
8033 824 251
5338 4358 243
1697 6554 677
7168 9608 931
7726 1199 67
2254 2649 713
1892 322 450
3929 6983 207
2350 2217 341
869 2614 505
8124 1120 914
412 6453 639
3712 4307 903
5205 4717 390
2418 2719 298
2719 1486 200
2987 4946 501
7530 4556 411
846 2917 580
3390 899 469
9743 452 46
3134 15 381
5015 6507 811
5025 6249 121
4434 395 966
2029 1417 960
1360 1789 996
3452 8194 917
8202 4711 222
3720 5636 614
9024 3890 615
2476 522 972
3879 9363 537
4872 6294 669
5648 989 958
8992 3252 357
3555 2 713
6373 117 176
9259 4740 812
5605 9206 288
2925 1162 554
8806 5405 9
5377 6352 307
6150 9299 548
4210 4288 845
9002 8670 916
3725 1318 288
2931 6937 807
5741 5525 736
71 4524 414
5960 3797 575
3232 778 7
2929 6561 36
2499 3586 695
333 7936 247
6241 5182 320
1749 4367 279
8881 2902 149
8720 1149 589
4532 1881 406
1343 6073 11
2926 1044 722
6201 9406 644
5726 6217 69
1333 181 584
3324 1732 968
8837 6607 161
2938 9796 134
8560 9903 350
9725 1405 460
3630 593 688
1759 1184 556
3505 456 309
8035 6878 336
6778 4294 651
9184 3746 119
9401 5918 584
5031 826 916
2066 3053 292
5450 6715 832
6420 1501 136
1832 6613 959
8901 5375 465
952 272 278
5670 6837 870
69 4205 977
1196 1083 399
4154 6729 727
1529 8285 403
7966 8074 588
5999 9038 195
9239 8765 442
5350 2009 187
6503 3913 356
3240 7174 165
4687 12 868
146 1991 295
2094 8278 748
4247 7337 6
8422 30 320
988 735 290
1647 9241 955
4871 2864 468
1485 9130 100
9636 811 815
5813 915 190
2558 6057 419
9123 6617 153
925 3317 642
771 552 398
7690 5149 55
6315 3437 931
5399 4624 484
9426 15 348
6186 526 672
9854 6812 473
3111 424 387
1581 2456 891
9420 3380 477
9092 7250 606
2488 6749 41
907 2174 63
4422 4665 532
9150 4854 40
2374 6797 108
6412 7853 948
1495 483 353
3015 1051 816
3016 6817 174
5783 2870 313
5774 7761 389
2636 4186 634
2878 2027 294
2130 993 598
8443 2505 106
9112 4014 359
1501 3485 344
5363 9650 434
6630 3409 116
7812 337 185
9751 4764 752
8822 1856 681
4749 5260 882
6799 1702 110
4926 2727 933
3743 9410 118
1858 7239 261
9322 6823 680
5882 8930 572
8514 5259 949
8580 4835 872
8310 6783 875
3513 439 34
2528 7000 284
6124 6821 266
7457 6219 256
1127 2718 886
8660 7271 937
6844 9660 104
1293 6621 249
7278 2763 255
8798 698 126
2068 2049 543
1619 7025 373
1760 1928 874
9054 8669 404
9877 1973 272
7592 3252 429
3923 3045 767
5877 6245 630
425 471 725
5950 2929 24
4029 9933 637
6904 7850 631
7458 2548 27
4030 5327 267
1889 5881 234
1638 7734 965
3635 1396 937
3747 3400 796
8408 890 624
1308 2479 903
8924 353 840
5993 7355 272
8131 7810 285
1925 2609 123
763 4954 395
2359 4532 883
5809 676 315
9911 9519 613
9071 8233 338
1499 4299 855
2140 172 703
5979 748 885
2686 2257 642
6420 3371 32
3417 9361 453
1580 4454 703
298 2459 432
6805 707 991
1904 4602 20
3587 419 264
3520 3714 869
4776 2482 676
6777 6494 927
626 4590 654
98 444 76
3135 7343 649
3352 8544 668
4239 1715 512
1221 1228 346
6370 6936 452
1674 9001 264
7219 3082 352
2461 7413 590
486 7436 188
7280 631 531
6931 7313 686
8904 5329 633
2602 9835 447
1644 1270 168
9181 2126 38
8025 1234 535
3607 9804 211
4218 3774 985
6438 7491 140
1943 23 503
4168 1951 75
5729 6333 208
595 2402 597
901 9427 608
6326 9460 612
9547 6581 409
694 4612 753
3010 7498 278
6073 9916 191
961 7976 6
2411 8308 239
5316 8349 404
7868 1695 625
8251 4642 419
8643 4642 545
769 87 705
975 654 248
6614 1191 356
4160 6213 209
9567 1160 120
5363 7483 368
6535 6750 876
1345 3217 467
3101 7633 795
8544 9461 447
3184 9262 671
3375 6186 589
3618 2432 664
3450 3609 244
304 6071 931
792 1959 675
3364 3181 583
5301 3253 7
9296 83 763
8268 1211 271
1244 8774 314
8197 1807 980
1132 718 531
5366 7823 673
9672 1304 855
474 1750 49
8879 5907 939
8108 8805 418
8593 7166 338
7211 2615 449
2930 2488 734
681 2521 310
7647 3678 943
9122 6147 57
3494 1244 747
9626 8425 162
6217 9313 223
56 1631 675
8880 1791 719
3239 8983 660
7890 8370 873
18 3581 648
2165 4642 496
8980 4044 954
4129 9866 251
4859 2633 3
1830 4576 205
2856 672 436
1392 843 745
803 1671 66
5742 7548 189
4653 2519 917
951 3435 317
312 9259 136
1115 2061 893
41 78 63
730 4195 680
8083 105 768
1081 438 542
3147 1591 767
5472 3767 536
1541 9710 731
1141 2634 158
3225 2386 448
3670 8360 627
8451 9535 950
833 5407 270
6233 5372 211
8452 24 947
9231 3233 557
9171 1922 60
2190 461 847
8718 4700 731
4008 3497 556
5187 6027 531
3141 1612 364
5135 7544 545
292 5781 887
6565 1185 304
719 3942 62
5217 8311 492
2204 8890 694
7715 4288 542
464 9840 879
2479 5082 713
5800 9776 470
288 665 989
8665 6888 125
927 5891 936
6156 4396 838
3609 4187 542
851 6819 173
7098 2065 677
8162 2877 663
1276 1712 602
6812 7827 831
2639 4541 964
9913 8073 39
8174 2394 668
7254 8424 436
7912 2949 133
4478 392 655
5208 2158 501
8205 8361 613
3018 6136 640
4202 2273 410
8802 4497 415
2584 4979 365
3347 8211 123
1899 100 952
3523 34 788
6740 5873 584
479 2171 738
1574 2201 603
4424 8327 559
5997 5788 437
6652 1356 318
4717 3303 32
2387 8204 987
1149 325 985
384 8464 217
1420 2408 18
1830 3928 420
4121 3746 606
7447 6403 697
4074 5691 860
6368 2433 347
4553 694 723
2033 1589 804
5006 1849 637
6087 9539 206
8 8052 925
9068 9249 875
1550 9357 655
1127 2524 471
8332 6117 397
206 7309 282
8671 9646 954
8890 8060 700
1927 7639 811
5542 6114 279
1529 5695 70
8057 4106 584
943 6057 499
4803 735 34
2602 1722 8
563 7385 960
6666 1461 254
1589 6935 508
1278 696 222
3020 1356 584
3373 3486 468
6740 6339 290
9453 1988 37
3831 6134 335
3751 106 272
6094 8165 20
5973 8177 522
9623 5287 432
7224 1089 316
1317 153 402
3000 1017 327
6163 6643 827
8007 2135 613
6456 6051 295
3127 3895 903
9544 1892 469
1124 8183 105
609 5204 745
7728 7112 669
4052 6115 387
8138 7730 103
5791 4238 407
5190 8046 770
160 4162 452
3160 646 463
6725 825 572
3984 405 861
9085 573 680
241 7058 540
3779 9702 683
9397 3098 559
739 2882 612
1026 7721 790
4084 1827 796
9141 9353 358
9798 1437 432
8420 4437 764
2680 4703 934
1946 9574 737
6122 1304 570
5410 8446 497
1938 4305 422
4784 1326 429
1018 7666 924
1580 427 213
5749 7523 535
1585 1455 327
6643 4142 820
1100 5577 335
2075 4692 219
3302 7302 2
9446 527 764
3303 794 185
2071 9837 849
8586 152 699
2766 7042 218
9192 1280 596
2300 2691 487
2192 4035 82
2271 6700 104
7913 187 277
9773 6270 963
7144 7030 147
432 8853 662
227 2639 399
2951 2361 13
7149 8014 949
9866 7397 302
3624 3753 681
5212 4874 679
9778 8339 178
8354 7597 233
5662 9380 83
3489 467 632
6253 1363 999
1524 6264 105
8941 1159 517
7147 1034 765
8996 8701 510
1552 4770 759
8748 7570 848
3365 2997 841
5095 145 441
1258 2856 262
4632 7017 313
2422 601 743
1581 5926 89
685 4594 535
3574 624 177
5729 1700 485
8082 3996 864
655 1503 63
2155 327 529
8956 297 564
2288 6531 514
9931 351 999
4137 7176 902
8630 4955 166
3453 9852 514
7963 6805 754
8283 4176 169
8995 6269 519
4181 2144 404
677 1822 260
500 5371 50
3082 7417 512
9385 2542 830
7881 252 961
661 3363 861
9217 5455 943
3287 8744 620
8040 1512 508
1597 8922 564
2455 5231 387
3355 6704 675
6694 3286 530
7221 8453 822
9411 1257 783
6502 6799 61
6131 282 198
2347 668 880
8731 2805 749
1981 4503 366
7495 411 374
1630 7136 906
6312 5870 422
2293 2090 5
8941 70 182
9114 2989 301
4552 51 815
1341 9579 262
1809 8311 812
902 2001 218
4932 5217 278
9563 644 95
3165 4946 860
3949 619 70
1508 1818 414
1162 1879 217
7473 7143 533
5193 1783 356
3360 8394 287
5924 9449 481
7281 8183 195
3141 3721 635
2072 8859 505
1644 5340 663
8452 1 967
5748 2872 825
2278 2502 387
4302 2348 622
3194 2578 525
3053 590 839
6707 1612 567
8603 5373 20
8141 3019 68
7354 7677 559
2424 6885 33
479 7875 851
4572 8484 836
3024 5524 826
1670 2137 465
7412 1970 136
148 3025 179
2337 5395 830
2296 2316 37
4492 1639 820
4993 8483 768
7071 348 742
1544 2687 562
185 9223 193
2548 4145 76
3347 3035 732
6575 1731 36
1457 2359 734
9557 4680 245
8383 1543 836
3089 3696 20
6832 7244 333
8554 7041 118
2783 4377 746
7560 9303 298
1165 6900 828
6137 6033 204
6438 7196 655
4273 548 636
2130 949 459
3435 8614 858
9927 886 487
5172 4903 150
3701 2805 940
1346 3839 720
8003 4023 870
7384 1892 258
8811 7401 585
2749 1756 79
6866 9936 83
4887 1368 898
7231 7682 193
7209 7255 89
1365 9110 364
2413 4158 356
5598 4486 61
8074 7090 527
3818 3911 955
5927 7779 686
6903 5467 906
858 5907 450
1056 5756 641
6666 7446 394
9104 4745 886
1746 6445 582
3245 7248 321
4625 2596 748
4667 4000 695
6631 8512 756
286 1712 552
8028 8226 290
8363 2248 586
5240 7875 208
7838 5876 699
3574 4059 547
4672 5016 441
1189 6000 123
9385 3212 753
5 1276 979
5994 1850 256
2098 9471 882
2819 8607 137
7640 7677 222
205 3309 793
6572 6631 758
9828 8641 622
9788 8257 836
1553 3179 557
43 9810 341
4887 307 74
1311 8657 61
8973 1516 181
6282 8384 897
866 7984 752
2106 5702 501
6420 1931 721
6563 6110 568
9943 3173 62
5673 2054 993
4848 3640 520
5454 2887 533
1115 7456 450
5484 7312 274
877 2045 809
6444 3947 493
7462 861 515
3939 8921 258
8568 790 713
5135 7070 236
6780 4381 954
8134 1209 53
7193 8587 837
2780 8068 705
1947 9032 162
5555 817 930
2766 6736 473
1716 5291 312
6966 2773 669
1324 6592 218
8282 6414 689
1008 4761 119
2720 8295 217
992 9686 937
1309 4163 560
1099 8102 579
1788 3643 730
3465 871 315
2820 9561 510
8101 1932 804
5268 5712 329
1270 1619 313
8675 2259 790
3557 878 486
5879 3238 196
1674 1125 972
2098 4253 736
3726 9670 842
4760 9770 567
5414 5562 873
1957 9460 468
4390 771 13
8532 7073 187
1282 9428 847
9488 2020 984
4868 6369 887
5587 6243 637
6465 3566 429
3962 5393 515
376 5227 814
8786 3594 817
1126 5890 823
4864 8137 738
1775 4094 980
8607 8588 55
7762 457 418
6173 1816 930
2455 5439 480
6534 9173 831
1248 3249 526
2888 155 662
6944 1199 465
2268 8601 257
9283 1206 12
1742 8282 810
2068 7516 96
4105 1657 103
9774 2569 713
3920 2848 16
9256 6508 830
810 99 566
8276 4325 474
1103 5741 3
7572 5829 75
8951 9087 786
5410 6019 296
7734 3854 858
9456 128 442
2962 7144 121
1034 5740 918
2537 3163 550
8768 1742 1
7264 1448 306
2514 3535 145
2620 2354 183
5873 9658 957
6188 2072 270
1084 3762 864
6598 9330 531
2133 8545 254
9321 6502 542
2407 1021 693
4519 4603 87
1932 895 712
3575 7448 63
3174 6692 954
7639 6580 771
1219 2843 514
5754 3568 107
3247 5205 391
2624 4637 496
1761 1156 482
7350 593 2
7336 8754 467
7502 1863 501
7936 7053 40
9391 4785 784
3997 1729 818
101 4160 354
1434 327 138
5648 8815 951
1061 353 623
8626 8676 563
9444 5149 137
5881 7704 839
8023 6495 554
8950 8673 776
1695 229 834
6989 1508 156
9415 2201 659
1472 8010 259
7629 581 88
332 6887 209
5877 7490 247
8922 2158 668
8465 9395 384
9710 8037 971
2007 3767 723
1351 8474 985
8650 5745 189
5057 6389 608
3702 2176 848
9498 2029 297
993 4472 37
164 794 905
5768 6666 446
8505 970 34
3378 9795 428
1635 4014 677
1436 6883 932
8067 307 336
1176 1038 656
7573 208 311
107 9159 791
2063 1476 425
5132 7376 317
6852 288 745
3869 6859 360
4566 2303 238
352 5975 74
2124 1529 18
5114 3271 443
2147 8375 827
2775 1859 532
1256 4302 406
7043 8 566
5081 3839 786
199 308 770
6312 792 285
4912 1318 464
7557 35 348
9409 2887 864
7750 255 166
4731 7282 330
1910 7495 506
9424 4238 488
3994 5960 388
9580 4612 866
1161 959 26
1970 2719 822
4508 3182 352
4103 2467 566
3657 799 477
5620 1567 660
6090 5988 624
2868 950 925
9606 3093 360
433 8127 6
3897 9850 585
1021 1834 749
724 5747 24
6747 9527 126
3361 2477 8
606 2579 649
9671 2930 834
1579 9394 971
2515 2053 102
504 7656 897
5292 4564 563
4582 1402 677
1373 5242 156
9382 6969 575
5099 1016 181
5953 7013 188
1 1862 804
1909 1140 727
5003 1876 483
8855 2399 971
2098 5985 107
7613 7880 671
4982 6174 486
8120 2264 639
5569 4185 627
2053 9048 288
2207 1435 112
9956 913 797
2598 1617 932
4103 484 91
4944 4268 480
5657 4882 499
9473 3596 308
9663 6516 776
4759 2646 630
1274 3215 117
4818 3802 54
1146 7862 499
947 626 537
9921 4588 852
8807 3394 497
77 8024 128
699 6549 390
4550 1837 58
774 9393 978
212 2617 713
2511 7616 387
2608 1410 105
555 8930 708
7260 5021 566
5539 8843 556
9340 6131 373
6692 9871 261
1539 495 293
3640 174 845
1948 6488 895
8346 2711 780
95 2315 74
2364 848 385
402 2235 395
9153 1040 49
4172 1259 72
1460 4964 250
1917 6737 157
4771 2528 565
8123 2817 440
9017 6704 984
3652 7989 928
5737 2359 395
2055 6662 938
6416 4096 239
3857 1079 991
5259 6447 183
6025 2131 555
4685 379 859
6831 8773 616
9978 7590 221
559 3357 95
5258 788 223
3879 9912 926
5819 7435 452
3721 5317 14
9748 6597 558
1960 4001 30
6806 2328 132
5861 7983 724
4967 199 120
8214 5685 437
7871 5472 716
9484 5843 76
554 8805 872
6965 86 1000
2932 74 104
9036 2738 212
9468 8818 485
1574 5027 939
2487 7596 931
5015 3306 615
4688 1688 55
9088 34 118
4942 2411 817
2557 5261 239
9606 723 900
4083 4124 270
4040 9283 911
5061 3342 650
9484 9470 835
1946 7993 504
2338 4354 902
6418 1325 959
5732 5164 831
6143 2429 492
9242 4378 613
7284 5236 649
5479 9 288
6052 8739 496
6594 7174 310
3452 4611 516
9258 8243 446
3550 9000 177
681 7437 339
5157 5560 14
6511 9603 958
5141 7018 138
6230 6405 1
9183 4194 647
7902 4225 889
3322 2705 406
1286 9082 677
9870 8439 580
741 9735 779
3816 2462 232
4679 96 414
3635 8675 929
9277 4340 368
8703 1219 399
6053 997 667
8649 2915 989
7870 1765 149
8669 4979 90
3556 8843 885
1075 1858 35
485 4591 477
3182 3882 778
3007 549 159
6548 4179 222
8356 8480 586
278 8303 536
8095 8400 628
4479 6144 405
970 2743 79
1996 585 629
2047 132 177
6801 9746 856
8820 8674 458
4218 6974 249
8159 7899 492
9004 5329 233
6468 487 55
3266 499 646
1335 1057 468
4198 5486 255
2223 3044 826
7859 4241 494
4014 4493 363
7409 7886 23
8349 5227 308
7693 4244 690
938 2783 57
1932 4457 324
5932 1881 137
6802 4905 957
2762 2091 274
8954 4563 841
1301 2134 545
8958 8039 593
5266 4997 217
3170 8362 589
7314 9778 493
3255 2046 369
2934 1870 302
4711 7088 223
1487 5822 395
5001 8975 902
5978 574 453
553 7338 906
1073 5977 461
4508 828 526
4024 2595 873
7420 121 386
724 4428 390
4919 6913 418
9842 7545 432
8727 9609 736
1960 2184 142
9497 7874 111
2666 1018 616
6064 920 635
9437 5647 39
1206 4550 288
9840 3016 922
9271 1160 48
7534 8961 408
4399 7108 370
363 841 20
4544 7784 923
5819 72 769
3765 1980 808
1211 7795 149
4181 9119 782
1835 8966 552
2928 1784 424
3390 856 787
5516 682 290
9121 7118 123
8651 2180 943
5216 9571 321
6228 9623 876
173 2608 790
115 3610 376
5944 2100 983
7254 8514 779
1462 1017 190
9200 2067 243
1680 4666 625
7866 1087 223
6086 5019 638
802 1722 508
2708 3567 668
4616 6232 60
6550 4313 233
4032 2338 169
7102 9400 261
4241 9641 959
2619 7750 1
3310 619 344
2960 940 620
7933 8602 616
9680 7134 7
6381 7792 896
6467 2805 937
6902 2908 705
245 9477 811
2728 5189 120
4095 8806 157
8325 1670 486
1880 7183 646
3675 7054 989
6779 6188 395
1164 7473 119
9106 2496 773
7863 8353 657
3927 6504 207
3091 7491 642
3636 5510 640
8900 8320 776
8759 1260 495
8007 8088 860
9586 5012 963
9335 6609 556
8563 9604 97
3680 2087 457
6160 6384 683
5604 1121 676
6876 5127 236
9635 6099 730
1676 5823 996
1941 5864 344
3968 2878 882
6504 2832 744
9916 1264 234
1917 6413 161
3697 2148 30
6797 6840 206
5881 7574 287
9878 3468 15
4801 5504 490
170 7997 412
1931 5786 164
978 998 187
883 3279 916
6374 2417 929
8630 9633 474
6672 3945 902
334 7766 241
651 4468 928
3588 1306 275
6989 9649 738
8962 2727 953
4757 8365 127
9684 1227 35
9214 7519 576
2543 6769 21
6705 2716 940
1667 1773 532
2763 4953 913
978 2717 701
4692 4623 210
1274 9125 210
5886 5729 282
4691 86 390
1546 7794 923
487 6852 547
124 6553 506
1533 6201 804
6849 4843 238
2623 5122 35
2628 918 726
4845 9214 179
3684 182 226
1140 4679 534
6103 1956 207
2014 4726 819
9324 8334 940
2818 842 926
8182 1738 401
5411 6950 629
5717 3901 382
5664 3790 751
1074 5038 680
4438 5491 840
173 4789 984
2452 5561 976
2816 9132 871
2080 5646 641
9971 2783 180
3399 8535 580
6988 5666 890
3801 7410 209
7869 8883 885
5755 896 658
5600 2799 517
1554 2332 808
6106 9544 793
5049 3045 161
9236 237 899
7344 4667 794
8186 1502 159
5967 1280 775
7481 7067 244
6986 1768 928
6027 3641 346
8297 4829 963
3697 6719 857
6166 2664 506
6694 6993 726
9054 8548 432
5058 7244 890
1761 3600 387
2441 6215 306
5598 329 76
635 6783 523
541 8696 924
5527 8121 728
1738 9974 946
3541 288 962
4191 387 397
2589 2297 105
5844 2247 212
7166 6710 444
168 8238 704
4070 441 885
2775 9975 164
1491 1050 929
8868 2328 112
7137 2875 18
1417 2665 412
8284 5569 142
2769 2737 2
2225 8216 506
6416 809 36
7501 2835 313
801 711 753
1030 6367 746
9123 8117 779
4122 4321 706
9762 252 535
4379 9744 505
5266 774 801
6522 8438 321
4333 828 914
9505 3337 494
3287 9204 147
8096 6028 946
2430 3582 133
1305 1471 829
4701 2025 71
1350 9522 817
9315 857 112
9271 1696 435
3185 7701 931
4059 3771 714
9176 5257 594
2950 5976 512
536 802 985
6063 1386 543
4993 4658 821
6119 6850 286
9873 4985 221
2012 8428 400
5416 3861 50
8526 7042 688
7788 6837 80
1240 4374 663
6521 5457 982
1518 6783 124
3497 1174 431
9609 5408 762
1803 4444 860
260 5829 363
2693 5609 271
7287 4689 860
1505 7458 619
9490 3163 992
1090 3446 211
4985 6156 70
2929 4109 859
4446 3073 401
7350 4875 449
3385 2299 851
1940 1558 852
7562 158 914
6535 7832 361
4138 4154 202
5887 9548 447
7845 57 408
6085 5115 415
1772 9943 135
4481 6850 1000
5667 3734 541
2087 4028 930
9804 5240 908
4397 5278 563
1400 7922 519
4441 2555 142
8274 9228 163
3962 63 950
6987 7585 734
3765 2617 950
4261 5637 256
8952 3215 663
8665 6839 566
5889 3973 892
8626 7829 358
8468 1418 222
6743 7862 178
5529 5304 405
5774 9401 775
1903 798 885
1100 6279 962
7934 1748 216
4424 1011 464
2747 6099 527
5070 3899 775
3934 3096 15
7443 7403 244
9639 3213 758
8541 1299 692
8709 3015 953
402 8712 160
1469 5536 25
5693 2830 519
9428 4731 702
148 1275 728
7561 788 789
1608 7618 689
9584 1220 187
1971 1868 440
3596 3226 610
1460 206 858
3661 6437 560
5128 6744 861
4913 2797 521
4833 2255 785
2716 5153 912
4529 3850 413
2767 812 523
2277 5569 147
5586 706 448
4039 5769 308
7951 2423 229
6636 6791 906
778 1467 474
9193 2210 505
6463 1033 826
538 9566 576
